Key,English

CloudMod_title,"Your one lucky Mother Fluffer!"
CloudMod,"Holy Smokes,\n\nI found you beaten and bruised, left on the side of the road as a zed snack.\n\nI'm going to lure them away in hopes you wake up in time to escape. I left a few items to help you get to the White River Settlement. You should be able to rest up there and who knows maybe they have a use for you.\n\n- Until we meet again,\n Cloud\n\n-HINT-Place your bedroll to recieve the location of the nearest trader."

Clouds's Starter Items 2.0,Clouds's Starter Items
Clouds's Starter Items 2.0Desc,"A Blessing from The Clouds."

ToolTipCloudsHealing,"Healing Bedroll"
ToolTipCloudsHealing1,"Healing Hospital Gurney"
ToolTipCloudsHealing2,"Healing Hospital Bed"

DisplayValueCloudsHealing,"    First Aid"
DisplayValueCloudsHealing1,"    First Aid+"
DisplayValueCloudsHealing2,"    First Aid++"

bedrollDesc,"Refills Health.\nRefreshes Stamina."
HealinggurneyBed,"Healing Hospital Gurney"
HealinggurneyBedDesc,"Heals Wounds.\nRefills Health.\nRefreshes Stamina.\nRemoves Hunger.\nRestores Hydration."
HealinghospitalBed,"Healing Hospital Bed"
HealinghospitalBedDesc,"Heals Wounds.\nRefills Health.\nRefreshes Stamina\nRemoves Hunger.\nRestores Hydration.\nCures Infection.\nTreats Near Death Trauma."
HealinggurneyBedSchematic,"Healing Hospital Gurney Schematic"
HealinghospitalBedSchematic,"Healing Hospital Bed Schematic"

CloudsZedShredder,"Cloud's Zed Shredder Grenade"
CloudsZedShredderDesc,"STICKS On CONTACT.\nEXPLODES On CONTACT When ARMED.\nDoes NOT Damage Blocks.\nDeals Double Damage.\nHas Double Radius. Stand Back."
CloudsBlockBuster,"Cloud's Block Buster Grenade"
CloudsBlockBusterDesc,"STICKS On CONTACT.\nThree Second Fuse AFTER CONTACT.\nDoes HIGH Damage to Blocks.\nDoes NOT damage Entities."
CloudsChestCracker,"Cloud's Chest Cracker Timed Charge"
CloudsChestCrackerDesc,"SUPER STRONG.\nGreat for HARDENED CHESTS.\nWILL DESTROY WEAK SAFES."

WoodleTraumaKit,"Woodle Trauma Kit"
WoodleTraumaKitDesc,"Fixes ALL Forms Of Muppetry...\nStops Abrasions, Bleeding, Concussions, Fatigue, Lacerations, Weakness.\nHeals Broken Arms OR Legs.\nCure 100% Infection WITH Diesease Resist.\n+180 Health\n+40 Instant Health\n-40 Water "

